"Item type","Authors","Title","Journal","Publication year","Volume","Pages","Institution","Date published","Date accessed","URLs","DOI","PMC ID"
"Journal Article","Ozimek A","The Future of Remote Work","SSRN Electronic Journal","2020","","","","05 2020","","https://content-static.upwork.com/blog/uploads/sites/6/2020/05/26131624/Upwork_EconomistReport_FWR_052020.pdf;http://dx.doi.org/10.2139/ssrn.3638597","10.2139/ssrn.3638597",""
"Journal Article","Jacks T","Research on Remote Work in the Era of COVID-19","Journal of Global Information Technology Management","2021","24","93-97","","04 2021","","http://dx.doi.org/10.1080/1097198x.2021.1914500","10.1080/1097198x.2021.1914500",""
"Journal Article","Galanti T,Guidetti G,Mazzei E,Zappalà S,Toscano F","Work from Home during the COVID-19 Outbreak","Journal of Occupational & Environmental Medicine","2021","63","426-432","","04 2021","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8247534/;http://dx.doi.org/10.1097/jom.0000000000002236;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8247534","10.1097/jom.0000000000002236","PMC8247534"
"Journal Article","Brynjolfsson E,Horton J,Ozimek A,Rock D,Sharma G,TuYe HY","COVID-19 and remote work: An early look at US data","National Bureau of Economic Research","2020","","","","06 2020","","http://dx.doi.org/10.3386/w27344","10.3386/w27344",""
"Journal Article","Tomić D,Vizinger K","Effects of Remote Business During the Covid-19 Pandemic - A Literature Review","American Journal of Economics and Business Innovation","2023","2","1–13","","01 2023","2023-01-21","https://journals.e-palli.com/home/index.php/ajebi/article/view/1088/483;http://dx.doi.org/10.54536/ajebi.v2i1.1088","10.54536/ajebi.v2i1.1088",""
"Journal Article","Fan W,Moen P","Ongoing Remote Work, Returning to Working at Work, or in between during COVID-19: What Promotes Subjective Well-being?","Journal of Health and Social Behavior","2023","","002214652211502","","01 2023","2023-02-28","http://dx.doi.org/10.1177/00221465221150283","10.1177/00221465221150283",""
"Miscellaneous","Gupta A","Accelerating Remote Work After COVID-19","","2020","","","The CGO","04 2020","","https://www.thecgo.org/research/accelerating-remote-work-after-covid-19/","",""
"Journal Article","Tursunbayeva A,Di Lauro S,Antonelli G","Remote Work at the Time of COVID-19 Pandemic and Beyond: A Scoping Review","HR Analytics and Digital HR Practices","2021","","127-169","","12 2021","","http://dx.doi.org/10.1007/978-981-16-7099-2_6","10.1007/978-981-16-7099-2_6",""
"Journal Article","Battisti E,Alfiero S,Leonidou E","Remote working and digital transformation during the COVID-19 pandemic: Economic–financial impacts and psychological drivers for employees","Journal of Business Research","2022","150","","","06 2022","","http://dx.doi.org/10.1016/j.jbusres.2022.06.010","10.1016/j.jbusres.2022.06.010",""
"Miscellaneous","Parker K,Horowitz J,Minkin R","How Coronavirus Has Changed the Way Americans Work","","2020","","","Pew Research Center’s Social & Demographic Trends Project","12 2020","","https://www.pewresearch.org/social-trends/2020/12/09/how-the-coronavirus-outbreak-has-and-hasnt-changed-the-way-americans-work/","",""
"Miscellaneous","G","Google Trends","","2023","","","Google Trends","02 2023","2023-02-28","https://trends.google.com/trends/explore?date=today%205-y&geo=US&q=remote%20work","",""
"Miscellaneous","Coate P","Remote Work Before, During, and After the Pandemic","","2021","","","www.ncci.com","01 2021","","https://www.ncci.com/SecureDocuments/QEB/QEB_Q4_2020_RemoteWork.html","",""
"Journal Article","Goldberg E","A Two-Year, 50-Million-Person Experiment in Changing How We Work","The New York Times","2022","","","","03 2022","","https://www.nytimes.com/2022/03/10/business/remote-work-office-life.html","",""
"Miscellaneous","Morgan S","Cybersecurity Jobs Report 2018-2021","","2019","","","Cybercrime Magazine","07 2019","","https://cybersecurityventures.com/jobs/","",""
